图标,名称,来源版本,主题,图鉴编号,原始稀有度,原始价值,官方效果,官方描述,解锁条件,游戏稀有度（可编辑）,游戏价值（可编辑）,游戏效果（可编辑）,启用（可编辑）,备注（可编辑）,内部ID,图标URL
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_m02.png,“游禽的左眼”,IS2,傀影与猩红孤钻,194,SUPER_RARE,,所有辅助和术师干员的攻击力+15%，所有近卫和狙击干员的攻击力-5%,高卢皇后冠冕的一部分，现存于莱塔尼亚女皇图书馆。皇后遣走所有侍从，宽恕一切罪犯，随后独自坐在曾属于丈夫的宝座上，等待着入侵者的到来——她决心死于源石结晶，而非敌人的剑刃。,,,,,是,,rogue_1_relic_m02,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_194.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_m03.png,“华美容貌”,IS2,傀影与猩红孤钻,195,SUPER_RARE,,每进入一个非战斗节点，获得希望+1,只见其面容便能充满希望的确是件幸事——即使知晓其灾祸本质，亦是如此。,,,,,是,,rogue_1_relic_m03,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_195.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_m05.png,“断剑”,IS2,傀影与猩红孤钻,197,SUPER_RARE,,所有干员的生命-30%，但再部署时间-50%,一把折断的剑，姑且能用……大概吧……,,,,,是,,rogue_1_relic_m05,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_197.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_m07.png,友谊之证,IS2,傀影与猩红孤钻,199,RARE,,战斗掉落的源石锭+30%,一些古老的血魔家族还沿用旧时的繁琐礼节。他们交付出高昂的友谊，并不允许他人随意冒犯。,,,,,是,,rogue_1_relic_m07,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_199.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_m10.png,“刀舞”,IS2,傀影与猩红孤钻,202,SUPER_RARE,,战斗开始时，使随机一名干员在本局内攻击力+100%，生命+100%,“猩红剧团”成员的遗物。“刀舞”是一位沉默寡言的萨尔贡舞者，也是一位武艺高超的战士，她对剧团无比忠诚，即便是在猩红剧团内也少有人知晓她的黑暗过去。,完成游戏结局,,,,是,,rogue_1_relic_m10,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_202.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_m11.png,“白英花”,IS2,傀影与猩红孤钻,203,SUPER_RARE,,战斗开始时，打乱所有干员的部署费用,“猩红剧团”成员的遗物。“白英花”这个艺名属于一位著名的莱塔尼亚歌剧演员，据说这位被称作“莱塔尼亚高塔上的白英花”的女演员与多位高塔贵族保持着微妙的私人关系，甚至尝试以此挑起贵族之间的争斗。,完成游戏结局,,,,是,,rogue_1_relic_m11,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_203.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_m12.png,“影子”,IS2,傀影与猩红孤钻,204,SUPER_RARE,,提高招募券中临时招募出现的概率,“猩红剧团”成员的遗物。据说在加入剧团之前，“影子”是一位著名的叙拉古舞台魔术师，以自己高超的幻术而出名，然而他被指控在表演中使用源石技艺暗杀了多位家族成员。,完成游戏结局,,,,是,,rogue_1_relic_m12,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_204.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_m13.png,《坎德之花》,IS2,傀影与猩红孤钻,205,NORMAL,,所有我方单位每秒回复10点生命,雕刻在石板上的叙事诗，是八百年前高卢一位著名的诗人留下的巨作。尽管后世的文学家对这首诗有着相当高的评价，但是依据历史记载，这位诗人却因为自己身形的臃肿与长相的丑陋而被人嘲笑。,,,,,是,,rogue_1_relic_m13,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_205.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_m15.png,《世间的美与丑》,IS2,傀影与猩红孤钻,207,SUPER_RARE,,仅一次，在非区域最终战斗中失败时不结束探索，目标生命+10并继续下一步行动,十五年前出版于维多利亚的传奇书籍，这本书简单地记述了作者对审美的理解，记载了大量文学、艺术、音乐相关的知识与历史。该书的内容涵盖古今，通俗易懂，被誉为“本世代的艺术大典”。然而据说该书的作者只是某个小剧团的剧团长，数年前被一个代号为“血钻”的刺客谋害。,在一次战斗中累计失去20目标生命（包含战斗失败）,,,,是,,rogue_1_relic_m15,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_207.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_m16.png,残破的玩偶,IS2,傀影与猩红孤钻,208,SUPER_RARE,,让探索走向不同的结局,“他说，他受够了，他再也不愿做他人手中的牵线木偶。”,完成游戏结局,,,,是,,rogue_1_relic_m16,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_208.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_m17.png,无用的剪刀,IS2,傀影与猩红孤钻,209,SUPER_RARE,,立即获得源石锭+11，希望+3,这把剪刀被使用了太久太久，久到已经没有办法再剪断任何有形之物，久到能将许多无形束缚全部剪碎。,完成游戏结局,,,,是,,rogue_1_relic_m17,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_209.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_m18.png,空白遗书,IS2,傀影与猩红孤钻,210,SUPER_RARE,,使【伤心的大锁】自愈能力失效,摆脱那个试图操纵他的疯子，就是他唯一的心愿。现在，他已经如愿了。,完成游戏结局,,,,是,,rogue_1_relic_m18,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_210.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_m19.png,替罪领巾,IS2,傀影与猩红孤钻,211,SUPER_RARE,,所有我方单位的部署费用+2,疯癫的高塔术师主办了一场特殊的宴会，所有碍于体面而出现在会客大厅的宾客，都是幕布揭开那一瞬间的见证者。,？？？,,,,是,,rogue_1_relic_m19,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_211.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_m20.png,替补演员,IS2,傀影与猩红孤钻,212,SUPER_RARE,,所有我方单位的攻击力、防御力、生命+3%,剧作家始终未认可由他揭幕的这几场戏。但是没关系，报幕人并不气馁，他的手中从不缺少替补演员。,？？？,,,,是,,rogue_1_relic_m20,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_212.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_m21.png,恍悟,IS2,傀影与猩红孤钻,213,SUPER_RARE,,所有我方单位的部署费用-3，攻击力、防御力、生命+5%，让探索走向不同的结局,巫王曾经的追随者已向艺术献出其全部。血肉、骨骼、信仰、心灵。,？？？,,,,是,,rogue_1_relic_m21,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_213.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_n01.png,死囚之舞,IS2,傀影与猩红孤钻,214,SUPER_RARE,,所有干员的再部署时间-10%,是他们自己将自己关在这里。啊，多么安静，再也没有人能打扰这场创作了。,【内容拓展 · 二】后，完成一次游戏结局,,,,是,,rogue_1_relic_n01,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_214.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_n02.png,初幕,IS2,傀影与猩红孤钻,215,SUPER_RARE,,希望+3，让探索走向不同的结局,这是第一场戏的落幕，是年轻人曾经为自己设计的第一个结局。在焚毁所有珍视之物的火焰之中，落魄的主人公蘸着仇敌的鲜血，写下复仇的最后一幕。,【内容拓展 · 二】后，完成一次游戏结局,,,,是,,rogue_1_relic_n02,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_215.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_n03.png,今日菜谱,IS2,傀影与猩红孤钻,216,SUPER_RARE,,所有我方单位受到的治疗和生命回复效果+40%,剧团厨师长每顿都做不同的菜品，所有人被剧团长严令不准打听食物来源。,在不损失目标生命的情况下胜利紧急作战【先来后到】,,,,是,,rogue_1_relic_n03,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_216.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_n04.png,“迷醉荷谟伊”,IS2,傀影与猩红孤钻,217,SUPER_RARE,,所有我方单位每秒回复2%的最大生命值,只要闻到一点，帕拉斯的眼角便会湿润，也不知道莱娜在香水里加了什么魔法......,,,,,是,,rogue_1_relic_n04,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_217.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_n05.png,女皇之愿,IS2,傀影与猩红孤钻,218,SUPER_RARE,,所有我方单位获得15%物理与法术闪避,两位女皇如同朝夜悬于高塔之上，当晨昏相通，意见一致，莱塔尼亚便再无异议。,,,,,是,,rogue_1_relic_n05,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_218.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_n10.png,“逝者垂泪”,IS2,傀影与猩红孤钻,223,SUPER_RARE,,所有干员受到晕眩、寒冷、冰冻等负面状态影响时，获得50%庇护,这枚古典挂坠以真诚和毅力铸就，在此之后，Whitesmith的锻炉再也没能燃起火焰。,在不损失目标生命的情况下胜利紧急作战【雕匠与石像】,,,,是,,rogue_1_relic_n10,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_223.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_n15.png,“噤声”,IS2,傀影与猩红孤钻,228,SUPER_RARE,,所有我方干员技能未开启时60秒内攻击力逐渐提升至最高+60%，每次技能结束时失去该加成,在等候那即将到来的至高一刻时，演员捂住自己刺痛不止的喉咙，按住胸腔中翻滚的火焰，闭口不言。,在不损失目标生命的情况下胜利战斗【观察】,,,,是,,rogue_1_relic_n15,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_228.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_n16.png,“聚焦”,IS2,傀影与猩红孤钻,229,SUPER_RARE,,每次部署我方单位时，对场上随机一个敌人及其周围造成3000点法术伤害,聚光灯交汇于主角身上，演员发出最后的呼号，死亡突至，戏剧落幕。,？？？,,,,是,,rogue_1_relic_n16,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E5%82%80%E5%BD%B1%E4%B8%8E%E7%8C%A9%E7%BA%A2%E5%AD%A4%E9%92%BB_229.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_sp06.png,“夜骇”,IS2,傀影与猩红孤钻,PCS06,RARE,,每次敌人进入保护目标点时，立刻对全场所有敌人造成5秒晕眩,总有一个黑暗的日子，连光芒都无法带来救赎。而剧团长早已备好美酒，准备欣赏他人的绝望时刻。,累计失去不小于30目标生命的情况下完成游戏结局,,,,是,,rogue_1_relic_sp06,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_1_relic_sp06.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_sp07.png,“无度”,IS2,傀影与猩红孤钻,PCS07,SUPER_RARE,,每次敌人进入保护目标点时，立刻对全场所有敌人造成3000点真实伤害,无光的宝石，如同剧团长本人永无止境的欲望。,？？？,,,,是,,rogue_1_relic_sp07,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_1_relic_sp07.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_sp02.png,近卫军帽,IS2,傀影与猩红孤钻,PCS02,SUPER_RARE,,在一局战斗中，所有干员每部署过一次就生命+25%,“你我终会离开，但我们的国家，将长盛不衰。”,累计在战斗中部署干员不小于200次的情况下完成游戏结局,,,,是,,rogue_1_relic_sp02,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_1_relic_sp02.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_grace_66.png,夜阳花,IS3,水月与深蓝之树,030,NORMAL,,灯火+10,在夜晚发光且成群生长，能提供一定的光源，因此得名。,,,,,是,,rogue_2_relic_grace_66,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B0%B4%E6%9C%88%E4%B8%8E%E6%B7%B1%E8%93%9D%E4%B9%8B%E6%A0%91_030.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_grace_67.png,聚火源石虫,IS3,水月与深蓝之树,031,NORMAL,,灯火+15,一种野生源石虫，背上时不时会窜出暗淡的火光。经过现代科学研究，发现该生物的发火效应为化学反应，并非民间流传的至亲回魂。,,,,,是,,rogue_2_relic_grace_67,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B0%B4%E6%9C%88%E4%B8%8E%E6%B7%B1%E8%93%9D%E4%B9%8B%E6%A0%91_031.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_grace_68.png,指路鳞,IS3,水月与深蓝之树,032,RARE,,灯火+30,生息于伊比利亚沿岸的无性别海栖生物，时常为渔民指引回海岸的航向，因此得名。近期已不多见，被新生代伊比利亚人视作幸运的象征。,,,,,是,,rogue_2_relic_grace_68,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B0%B4%E6%9C%88%E4%B8%8E%E6%B7%B1%E8%93%9D%E4%B9%8B%E6%A0%91_032.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_grace_52.png,“静音小队”,IS3,水月与深蓝之树,042,SUPER_RARE,,所有我方单位的攻击力和防御力+35%，生命+45%,由罗德岛工程部统一操控的探索用无人机，更高效，更安全，为外勤干员们提供全方位的支援与保障。,,,,,是,,rogue_2_relic_grace_52,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B0%B4%E6%9C%88%E4%B8%8E%E6%B7%B1%E8%93%9D%E4%B9%8B%E6%A0%91_042.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_fight_38.png,涡旋座,IS3,水月与深蓝之树,079,SUPER_RARE,,所有【特种】干员的攻击力+30%，所有【术师】干员的攻击力+3%,驾驭风浪，驾驭洋流。曾经，阿戈尔与海洋如此默契交融。,,,,,是,,rogue_2_relic_fight_38,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B0%B4%E6%9C%88%E4%B8%8E%E6%B7%B1%E8%93%9D%E4%B9%8B%E6%A0%91_079.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_fight_39.png,海程,IS3,水月与深蓝之树,080,SUPER_RARE,,所有【术师】干员的攻击力+30%，所有【特种】干员的攻击力+3%,纵然两度逃上陆地，可他们依然自豪：阿戈尔曾丈量海洋。,,,,,是,,rogue_2_relic_fight_39,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B0%B4%E6%9C%88%E4%B8%8E%E6%B7%B1%E8%93%9D%E4%B9%8B%E6%A0%91_080.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_fight_45.png,胎生百合,IS3,水月与深蓝之树,083,SUPER_RARE,,战斗开始时，所有干员的部署费用-3并将部署费用打乱,一种打破常理的生物形态。植物的繁殖能力，动物的繁殖欲望。,完成游戏结局,,,,是,,rogue_2_relic_fight_45,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B0%B4%E6%9C%88%E4%B8%8E%E6%B7%B1%E8%93%9D%E4%B9%8B%E6%A0%91_083.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_fight_105.png,安洁莉娜的创想,IS3,水月与深蓝之树,103,SUPER_RARE,,所有敌方单位移动速度-15%，且重量下降一个等级,少女并不介意分享自己的源石技艺，她相信你会将之用在正确的地方。,,,,,是,,rogue_2_relic_fight_105,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B0%B4%E6%9C%88%E4%B8%8E%E6%B7%B1%E8%93%9D%E4%B9%8B%E6%A0%91_103.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_fight_120.png,王庭盟约,IS3,水月与深蓝之树,113,SUPER_RARE,,所有干员不再受到来自【萨卡兹】敌人的伤害,古老的萨卡兹王庭牺牲自己，获得了力量，由此物始，诸王庭止戈言和，同仇敌忾。,,,,,是,,rogue_2_relic_fight_120,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B0%B4%E6%9C%88%E4%B8%8E%E6%B7%B1%E8%93%9D%E4%B9%8B%E6%A0%91_113.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_fight_128.png,遗落之帜,IS3,水月与深蓝之树,117,SUPER_RARE,,每次战斗会随机一个可部署位置，该位置上的我方单位攻击力+50%，攻击速度+50,一面残破的桅旗，并无特殊之处，但深海猎人却能凭借它找到阿戈尔曾在海洋各处秘密存储的战备补给。海洋原谅了什么，她们并不清楚，但她们无需原谅。战斗未停。,累计在战斗中部署干员不小于120次的情况下完成游戏结局,,,,是,,rogue_2_relic_fight_128,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B0%B4%E6%9C%88%E4%B8%8E%E6%B7%B1%E8%93%9D%E4%B9%8B%E6%A0%91_117.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_fight_132.png,捕鳞蓑,IS3,水月与深蓝之树,119,SUPER_RARE,,远程干员获得【迷彩】,伊比利亚海民在浅滩捕杀巨鳞时常穿的外衣，独特的造型与颜色让他们看起来像是普通的礁石。罗德岛工程部以此为原型设计了具有视觉隐匿效果的作战服，目前尚在测试阶段。,在多局游戏中累计击败领袖【圣徒伊比利亚】1次,,,,是,,rogue_2_relic_fight_132,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B0%B4%E6%9C%88%E4%B8%8E%E6%B7%B1%E8%93%9D%E4%B9%8B%E6%A0%91_119.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_fight_149.png,衍生者终端-超级改,IS3,水月与深蓝之树,130,RARE,,【召唤物】生命值+30%，攻击力+30%，攻击速度+30,雷神工业出品的最新型电子操作终端，能够自行接驳现有多数遥控机械的信号，完成客制化与性能升级，目前尚未投入市场。,,,,,是,,rogue_2_relic_fight_149,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B0%B4%E6%9C%88%E4%B8%8E%E6%B7%B1%E8%93%9D%E4%B9%8B%E6%A0%91_130.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_fight_151.png,沃特大叔养护套装,IS3,水月与深蓝之树,131,NORMAL,,所有我方远程单位受到元素损伤减少40%,哥伦比亚老牌毛发护理厂商“沃特大叔”生产的养护套装，普罗旺斯做过该产品的模特。“打理好尾巴和耳朵，它们是你的第二张脸。”,在多局游戏中累计使5个【掠海漂移体】进入目标点,,,,是,,rogue_2_relic_fight_151,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B0%B4%E6%9C%88%E4%B8%8E%E6%B7%B1%E8%93%9D%E4%B9%8B%E6%A0%91_131.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_fight_152.png,乌萨斯毡毯,IS3,水月与深蓝之树,132,NORMAL,,所有我方近战单位受到元素损伤减少40%,乌萨斯人在储藏冬粮时铺在地窖底部的特制毡毯，吸水防潮。当地窖成为藏身之所时，它也可以为里面的人抵御片刻风雪。,在多局游戏中累计击败200个【注亡拟嗣】,,,,是,,rogue_2_relic_fight_152,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B0%B4%E6%9C%88%E4%B8%8E%E6%B7%B1%E8%93%9D%E4%B9%8B%E6%A0%91_132.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_fight_54.png,折戟-一夫当关,IS3,水月与深蓝之树,140,RARE,,所有【近卫】干员的阻挡数+1,并不是只有身穿重甲或是手持盾牌的人才擅长抵御敌人的攻击。迅速击溃有可能对你造成伤害的敌人才是最好的防守。,在多局游戏中累计击败领袖【塑路者】3次,,,,是,,rogue_2_relic_fight_54,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B0%B4%E6%9C%88%E4%B8%8E%E6%B7%B1%E8%93%9D%E4%B9%8B%E6%A0%91_140.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_fight_78.png,锈刃-单兵,IS3,水月与深蓝之树,165,RARE,,所有【特种】干员的攻击力+40%，防御力+40%,S.W.E.E.P.的总管没有任何任务参与记录。*没有*。,,,,,是,,rogue_2_relic_fight_78,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B0%B4%E6%9C%88%E4%B8%8E%E6%B7%B1%E8%93%9D%E4%B9%8B%E6%A0%91_165.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_fight_80.png,锈刃-神力,IS3,水月与深蓝之树,167,SUPER_RARE,,所有【特种】干员的力度+2,地形是作战的一环......只能说这么多了。,在多局游戏中累计进入事件【先遣小队】6次,,,,是,,rogue_2_relic_fight_80,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B0%B4%E6%9C%88%E4%B8%8E%E6%B7%B1%E8%93%9D%E4%B9%8B%E6%A0%91_167.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_fight_81.png,尖刺之手,IS3,水月与深蓝之树,168,SUPER_RARE,,【铁卫】、【驭法铁卫】和【决战者】对自身阻挡的敌人每秒造成自身防御力100%的法术伤害,让敌人动手，自己打个头破血流。,,,,,是,,rogue_2_relic_fight_81,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B0%B4%E6%9C%88%E4%B8%8E%E6%B7%B1%E8%93%9D%E4%B9%8B%E6%A0%91_168.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_fight_82.png,扼喉之手,IS3,水月与深蓝之树,169,SUPER_RARE,,【重射手】、【神射手】和【攻城手】的攻击会将生命值20%以下的敌人强制击败,最后一份气力，掐断最后一点生机。,,,,,是,,rogue_2_relic_fight_82,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B0%B4%E6%9C%88%E4%B8%8E%E6%B7%B1%E8%93%9D%E4%B9%8B%E6%A0%91_169.png
../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_fight_86.png,积攒之手,IS3,水月与深蓝之树,173,SUPER_RARE,,【冲锋手】、【尖兵】和【战术家】的部署费用-12，且击败敌人后额外获得6点部署费用,缺了什么，就从敌人身上拿，别客气。,,,,,是,,rogue_2_relic_fight_86,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_%E6%B0%B4%E6%9C%88%E4%B8%8E%E6%B7%B1%E8%93%9D%E4%B9%8B%E6%A0%91_173.png
